Wave[A],Flux[ergs A-1 cm-2 s-2](Orig),Flux[erg A-1 cm-2 s-2](cont+line+filt)
6731.40087890625,4.44712121629359E-16,4.21014845501481E-16
6730.31103515625,4.00785679875531E-16,4.21150786995818E-16
6729.22119140625,3.43209471362709E-16,4.21286410374889E-16
6728.1318359375,3.49123977958004E-16,4.21421655316774E-16
6727.0419921875,4.20652758023461E-16,4.21556643290606E-16
6725.9521484375,4.41586845339698E-16,4.21691313832095E-16
6724.8623046875,4.68021495793978E-16,4.21825667168915E-16
6723.7724609375,3.99132366412535E-16,4.21959703528741E-16
6722.68310546875,3.88400562423545E-16,4.22093363299921E-16
6721.59326171875,4.28655017751096E-16,4.22226766530544E-16
6720.50341796875,3.84473702018787E-16,4.22359853467096E-16
6719.4140625,4.24672997193208E-16,4.22492564922834E-16
6718.32421875,3.6144229803884E-16,4.22625020095721E-16
6717.234375,4.27548093478637E-16,4.2275715965746E-16
6716.14501953125,4.54043122603096E-16,4.22888924845298E-16
6715.05517578125,3.52556415525863E-16,4.23020434008913E-16
6713.96533203125,4.29407989233628E-16,4.23151628244301E-16
6712.8759765625,3.60915043410813E-16,4.23282449211787E-16
6711.7861328125,4.12476532948583E-16,4.2341301441459E-16
6710.69677734375,4.23905077784972E-16,4.23543207086259E-16
6709.60693359375,3.17899923081448E-16,4.23673144166767E-16
6708.517578125,4.43116758675426E-16,4.23802709452499E-16
6707.427734375,3.35663711218737E-16,4.23932019321004E-16
6706.33837890625,4.28531494318769E-16,4.24060958130682E-16
6705.24853515625,4.94914015643016E-16,4.24189641697478E-16
6704.1591796875,4.24002679141553E-16,4.24317954940988E-16
6703.0693359375,4.27167102470592E-16,4.24446013116364E-16
6701.97998046875,5.48655166020114E-16,4.24573701703592E-16
6700.89013671875,4.32179925949923E-16,4.2470113539784E-16
6699.80078125,4.01462067668231E-16,4.24828200238668E-16
6698.7109375,3.93681656677976E-16,4.24955010362078E-16
6697.62158203125,5.0096251005684E-16,4.25081452366386E-16
6696.5322265625,3.99313652418489E-16,4.25207583363319E-16
6695.4423828125,4.14229566232855E-16,4.25333459906929E-16
6694.35302734375,3.8140314405752E-16,4.25458969432068E-16
6693.263671875,3.30558696364613E-16,4.25584168632039E-16
6692.173828125,4.16419939391988E-16,4.25709113643696E-16
6691.08447265625,4.87580124467769E-16,4.258336927366E-16
6689.9951171875,4.71652979266416E-16,4.25957962186541E-16
6688.9052734375,4.48095248203635E-16,4.26081977714099E-16
6687.81591796875,5.14049851571069E-16,4.26205628421693E-16
6686.7265625,3.44239733638904E-16,4.26328970168543E-16
6685.63720703125,4.22693678615914E-16,4.2645200318201E-16
6684.5478515625,3.2940881450742E-16,4.26574727689464E-16
6683.4580078125,4.11161087693356E-16,4.26697198719752E-16
6682.36865234375,2.51229294970431E-16,4.26819306759264E-16
6681.279296875,4.09124692992052E-16,4.26941106974972E-16
6680.18994140625,4.40465035124936E-16,4.27062599594249E-16
6679.1005859375,5.50401748839678E-16,4.27183784844461E-16
6678.01123046875,3.49418945932229E-16,4.27304662952973E-16
6676.92138671875,5.01395891817324E-16,4.27425288121948E-16
6675.83203125,4.88668340782331E-16,4.2754555249176E-16
6674.74267578125,4.05773730067552E-16,4.27665510402087E-16
6673.6533203125,4.79963186865866E-16,4.277851620803E-16
6672.56396484375,4.74014779320928E-16,4.27904507753763E-16
6671.474609375,4.76181204167547E-16,4.28023547649843E-16
6670.38525390625,3.16603082331395E-16,4.28142281995912E-16
6669.2958984375,3.79731071902882E-16,4.28260711019341E-16
6668.20654296875,4.91537325636813E-16,4.28378834947496E-16
6667.1171875,3.40448292185426E-16,4.28496654007748E-16
6666.02783203125,4.13940678808168E-16,4.28614168427465E-16
6664.9384765625,4.00887337946418E-16,4.28731378434016E-16
6663.84912109375,4.78230547664452E-16,4.2884828425477E-16
6662.759765625,4.09595658089686E-16,4.28964886117096E-16
6661.67041015625,4.50982056043049E-16,4.29081184248363E-16
6660.5810546875,3.83880681458688E-16,4.29197178875938E-16
6659.49169921875,3.77775386427143E-16,4.29312870227194E-16
6658.40283203125,4.33118169125473E-16,4.29428206876913E-16
6657.3134765625,5.56974562603553E-16,4.29543292493315E-16
6656.22412109375,4.29073664005858E-16,4.296580755154E-16
6655.134765625,3.94158066388692E-16,4.29772556170541E-16
6654.04541015625,4.65806116192893E-16,4.29886734686103E-16
6652.9560546875,4.18151912657864E-16,4.3000061128946E-16
6651.8671875,4.30730302514335E-16,4.3011413536789E-16
6650.77783203125,4.92352388825427E-16,4.30227408964001E-16
6649.6884765625,2.88523710283996E-16,4.30340381329913E-16
6648.59912109375,4.43123056497737E-16,4.30453052692988E-16
6647.509765625,4.18654115624732E-16,4.30565423280597E-16
6646.4208984375,4.75692879526707E-16,4.30677443154303E-16
6645.33154296875,5.21899633236216E-16,4.30789213007651E-16
6644.2421875,5.23439438549162E-16,4.30900682767537E-16
6643.1533203125,4.10598563186917E-16,4.31011802898843E-16
6642.06396484375,3.87551506743966E-16,4.3112267328817E-16
6640.974609375,4.44082799310606E-16,4.31233244266037E-16
6639.8857421875,4.6860566640385E-16,4.31343466699738E-16
6638.79638671875,4.31466581712688E-16,4.31453439670754E-16
6637.70703125,4.75453294272342E-16,4.31563113912318E-16
6636.6181640625,4.23594743441943E-16,4.31672440693204E-16
6635.52880859375,4.86666786707846E-16,4.31781518291619E-16
6634.43994140625,4.29069412738672E-16,4.31890249151119E-16
6633.3505859375,5.02808237200554E-16,4.31998731015452E-16
6632.26123046875,4.87001179654135E-16,4.32106915286975E-16
6631.17236328125,4.20596590695217E-16,4.32214753901543E-16
6630.0830078125,3.74325209033576E-16,4.32322343802692E-16
6628.994140625,3.64384506465216E-16,4.32429588767629E-16
6627.90478515625,4.06689378418652E-16,4.32536585207466E-16
6626.81591796875,4.26784947453989E-16,4.32643237431433E-16
6625.7265625,4.42506901129684E-16,4.3274964131903E-16
6624.6376953125,4.44946276167275E-16,4.32855701710684E-16
6623.54833984375,3.839770140305E-16,4.32961513955107E-16
6622.45947265625,4.54041249425026E-16,4.33066983423116E-16
6621.3701171875,4.27408120401777E-16,4.33172204933437E-16
6620.28125,5.12603200029987E-16,4.33277084386451E-16
6619.1923828125,4.01831667186043E-16,4.33381669238752E-16
6618.10302734375,4.34810570070845E-16,4.33486006418427E-16
6617.01416015625,5.25556099327804E-16,4.33590002618627E-16
6615.92529296875,5.08053121678816E-16,4.336937048994E-16
6614.8359375,4.79764636607911E-16,4.3379715979353E-16
6613.7470703125,4.64360453298078E-16,4.33900274785092E-16
6612.658203125,4.22284788901332E-16,4.34003096538522E-16
6611.56884765625,3.93010576737831E-16,4.34105671192202E-16
6610.47998046875,4.43222418976988E-16,4.34207907019307E-16
6609.39111328125,4.20511770712879E-16,4.34309850289576E-16
6608.3017578125,4.0584392571724E-16,4.34411546747904E-16
6607.212890625,4.04759697516138E-16,4.3451290545474E-16
6606.1240234375,4.66854605118158E-16,4.34613972286026E-16
6605.03515625,3.24553508054288E-16,4.34714747468825E-16
6603.94580078125,5.13891865368028E-16,4.34815276224847E-16
6602.85693359375,3.89650214835757E-16,4.34915468661333E-16
6601.76806640625,4.40061177756619E-16,4.35015370130623E-16
6600.67919921875,4.38262789607907E-16,4.35114980859783E-16
6599.59033203125,4.48151401635245E-16,4.35214301075876E-16
6598.5009765625,4.33044227340226E-16,4.35313375348921E-16
6597.412109375,4.25873212880384E-16,4.35412115090048E-16
6596.3232421875,4.6015240265996E-16,4.35510564999396E-16
6595.234375,4.70024457178412E-16,4.35608725304034E-16
